InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
569999,23375,50'S CHRISTMAS PAPER GIFT BAG,20,10/7/2011 8:49,0.82,17030,United Kingdom
570001,23207,LUNCH BAG ALPHABET DESIGN,10,10/7/2011 9:10,1.65,14427,United Kingdom
570001,23201,JUMBO BAG ALPHABET,10,10/7/2011 9:10,2.08,14427,United Kingdom
570002,21155,RED RETROSPOT PEG BAG,18,10/7/2011 9:16,2.55,12477,Germany
570003,22371,AIRLINE BAG VINTAGE TOKYO 78,1,10/7/2011 9:19,4.25,14792,United Kingdom
C570004,47594A,CAROUSEL DESIGN WASHBAG,-1,10/7/2011 9:21,1.95,13198,United Kingdom
C570004,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,10/7/2011 9:21,4.25,13198,United Kingdom
570009,23373,VINTAGE CHRISTMAS PAPER GIFT BAG,12,10/7/2011 9:38,0.82,14138,United Kingdom
570009,23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,12,10/7/2011 9:38,1.25,14138,United Kingdom
570009,22382,LUNCH BAG SPACEBOY DESIGN ,10,10/7/2011 9:38,1.65,14138,United Kingdom
570009,22382,LUNCH BAG SPACEBOY DESIGN ,10,10/7/2011 9:38,1.65,14138,United Kingdom
570011,20724,RED RETROSPOT CHARLOTTE BAG,10,10/7/2011 9:44,0.85,16477,United Kingdom
570011,20725,LUNCH BAG RED RETROSPOT,10,10/7/2011 9:44,1.65,16477,United Kingdom
570016,21155,RED RETROSPOT PEG BAG,6,10/7/2011 10:06,2.55,14911,EIRE
570018,85099F,JUMBO BAG STRAWBERRY,100,10/7/2011 10:12,1.79,13629,United Kingdom
570018,85099B,JUMBO BAG RED RETROSPOT,100,10/7/2011 10:12,1.79,13629,United Kingdom
570018,21929,JUMBO BAG PINK VINTAGE PAISLEY,100,10/7/2011 10:12,1.79,13629,United Kingdom
570019,20728,LUNCH BAG CARS BLUE,1,10/7/2011 10:13,1.65,17841,United Kingdom
570022,21703,BAG 125g SWIRLY MARBLES,5,10/7/2011 10:21,0.42,14067,United Kingdom
570022,23201,JUMBO BAG ALPHABET,2,10/7/2011 10:21,2.08,14067,United Kingdom
570022,85099F,JUMBO BAG STRAWBERRY,1,10/7/2011 10:21,2.08,14067,United Kingdom
570027,23344,JUMBO BAG 50'S CHRISTMAS ,20,10/7/2011 10:41,2.08,14844,United Kingdom
570027,85099B,JUMBO BAG RED RETROSPOT,100,10/7/2011 10:41,1.79,14844,United Kingdom
570036,20719,WOODLAND CHARLOTTE BAG,10,10/7/2011 10:50,0.85,16358,United Kingdom
570036,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,10/7/2011 10:50,1.65,16358,United Kingdom
570036,22383,LUNCH BAG SUKI DESIGN ,10,10/7/2011 10:50,1.65,16358,United Kingdom
570036,22382,LUNCH BAG SPACEBOY DESIGN ,10,10/7/2011 10:50,1.65,16358,United Kingdom
570076,47599B,BLUE PARTY BAGS ,12,10/7/2011 11:17,2.1,15738,United Kingdom
570076,22333,RETROSPOT PARTY BAG + STICKER SET,16,10/7/2011 11:17,1.65,15738,United Kingdom
570086,22355,CHARLOTTE BAG SUKI DESIGN,30,10/7/2011 11:22,0.85,17086,United Kingdom
570086,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,10/7/2011 11:22,2.08,17086,United Kingdom
570086,23203,JUMBO BAG VINTAGE DOILY ,10,10/7/2011 11:22,2.08,17086,United Kingdom
570087,20719,WOODLAND CHARLOTTE BAG,25,10/7/2011 11:26,2.46,,United Kingdom
570087,20723,STRAWBERRY CHARLOTTE BAG,33,10/7/2011 11:26,2.46,,United Kingdom
570087,20725,LUNCH BAG RED RETROSPOT,25,10/7/2011 11:26,4.96,,United Kingdom
570087,20727,LUNCH BAG  BLACK SKULL.,8,10/7/2011 11:26,4.96,,United Kingdom
570087,20728,LUNCH BAG CARS BLUE,8,10/7/2011 11:26,4.96,,United Kingdom
570087,21155,RED RETROSPOT PEG BAG,10,10/7/2011 11:26,4.96,,United Kingdom
570087,22355,CHARLOTTE BAG SUKI DESIGN,70,10/7/2011 11:26,2.46,,United Kingdom
570087,22356,CHARLOTTE BAG PINK POLKADOT,17,10/7/2011 11:26,2.46,,United Kingdom
570087,22382,LUNCH BAG SPACEBOY DESIGN ,2,10/7/2011 11:26,4.96,,United Kingdom
570087,22896,PEG BAG APPLES DESIGN,1,10/7/2011 11:26,5.79,,United Kingdom
570087,23204,CHARLOTTE BAG APPLES DESIGN,12,10/7/2011 11:26,2.46,,United Kingdom
570087,23205,CHARLOTTE BAG VINTAGE ALPHABET ,8,10/7/2011 11:26,2.46,,United Kingdom
570087,23206,LUNCH BAG APPLE DESIGN,3,10/7/2011 11:26,4.96,,United Kingdom
570087,23207,LUNCH BAG ALPHABET DESIGN,1,10/7/2011 11:26,4.96,,United Kingdom
570088,23204,CHARLOTTE BAG APPLES DESIGN,2,10/7/2011 11:32,0.85,16764,United Kingdom
570088,20718,RED RETROSPOT SHOPPER BAG,1,10/7/2011 11:32,1.25,16764,United Kingdom
570088,20717,STRAWBERRY SHOPPER BAG,1,10/7/2011 11:32,1.25,16764,United Kingdom
570088,20723,STRAWBERRY CHARLOTTE BAG,2,10/7/2011 11:32,0.85,16764,United Kingdom
570088,22662,LUNCH BAG DOLLY GIRL DESIGN,1,10/7/2011 11:32,1.65,16764,United Kingdom
570088,20728,LUNCH BAG CARS BLUE,1,10/7/2011 11:32,1.65,16764,United Kingdom
570088,20725,LUNCH BAG RED RETROSPOT,2,10/7/2011 11:32,1.65,16764,United Kingdom
570088,23209,LUNCH BAG VINTAGE DOILY ,2,10/7/2011 11:32,1.65,16764,United Kingdom
570088,20726,LUNCH BAG WOODLAND,1,10/7/2011 11:32,1.65,16764,United Kingdom
570088,20719,WOODLAND CHARLOTTE BAG,2,10/7/2011 11:32,0.85,16764,United Kingdom
570088,21933,PINK VINTAGE PAISLEY PICNIC BAG,3,10/7/2011 11:32,1.65,16764,United Kingdom
570088,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,10/7/2011 11:32,1.65,16764,United Kingdom
