InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570011,23313,VINTAGE CHRISTMAS BUNTING,5,10/7/2011 9:44,4.95,16477,United Kingdom
570011,23298,SPOTTY BUNTING,3,10/7/2011 9:44,4.95,16477,United Kingdom
570016,23313,VINTAGE CHRISTMAS BUNTING,5,10/7/2011 10:06,4.95,14911,EIRE
570016,47566,PARTY BUNTING,8,10/7/2011 10:06,4.95,14911,EIRE
570016,22669,RED BABY BUNTING ,5,10/7/2011 10:06,2.95,14911,EIRE
570016,23298,SPOTTY BUNTING,3,10/7/2011 10:06,4.95,14911,EIRE
570017,21621,VINTAGE UNION JACK BUNTING,12,10/7/2011 10:09,8.5,15706,United Kingdom
570019,22090,PAPER BUNTING RETROSPOT,1,10/7/2011 10:13,2.95,17841,United Kingdom
570027,47590B,PINK HAPPY BIRTHDAY BUNTING,3,10/7/2011 10:41,5.45,14844,United Kingdom
570076,22090,PAPER BUNTING RETROSPOT,6,10/7/2011 11:17,2.95,15738,United Kingdom
570076,47590B,PINK HAPPY BIRTHDAY BUNTING,18,10/7/2011 11:17,5.45,15738,United Kingdom
570087,23298,SPOTTY BUNTING,1,10/7/2011 11:26,10.79,,United Kingdom
570087,47566,PARTY BUNTING,20,10/7/2011 11:26,10.79,,United Kingdom
570093,47566,PARTY BUNTING,3,10/7/2011 11:55,4.95,18096,United Kingdom
570100,47566,PARTY BUNTING,8,10/7/2011 12:12,4.95,13695,United Kingdom
570116,23298,SPOTTY BUNTING,3,10/7/2011 12:38,4.95,12856,United Kingdom
570127,47566,PARTY BUNTING,3,10/7/2011 13:17,4.95,16900,United Kingdom
570127,47590B,PINK HAPPY BIRTHDAY BUNTING,3,10/7/2011 13:17,5.45,16900,United Kingdom
570127,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,10/7/2011 13:17,5.45,16900,United Kingdom
570167,23298,SPOTTY BUNTING,6,10/7/2011 14:04,4.95,15615,United Kingdom
