InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570000,22423,REGENCY CAKESTAND 3 TIER,1,10/7/2011 8:55,12.75,12420,Cyprus
570086,22423,REGENCY CAKESTAND 3 TIER,2,10/7/2011 11:22,12.75,17086,United Kingdom
570087,22423,REGENCY CAKESTAND 3 TIER,7,10/7/2011 11:26,24.96,,United Kingdom
570095,22423,REGENCY CAKESTAND 3 TIER,1,10/7/2011 11:57,12.75,12528,Germany
560451,22423,REGENCY CAKESTAND 3 TIER,4,7/19/2011 9:50,12.75,14911,EIRE
C560560,22423,REGENCY CAKESTAND 3 TIER,-1,7/19/2011 13:26,12.75,17738,United Kingdom
560567,22423,REGENCY CAKESTAND 3 TIER,10,7/19/2011 13:57,24.96,,United Kingdom
560569,22423,REGENCY CAKESTAND 3 TIER,1,7/19/2011 14:04,12.75,12480,Germany
560571,22423,REGENCY CAKESTAND 3 TIER,1,7/19/2011 14:29,12.75,17735,United Kingdom
560576,22423,REGENCY CAKESTAND 3 TIER,2,7/19/2011 14:59,12.75,17287,United Kingdom
560580,22423,REGENCY CAKESTAND 3 TIER,22,7/19/2011 15:23,10.95,14088,United Kingdom
557676,22423,REGENCY CAKESTAND 3 TIER,1,6/22/2011 10:28,12.75,15804,United Kingdom
557749,22423,REGENCY CAKESTAND 3 TIER,6,6/22/2011 12:44,12.75,13477,United Kingdom
557765,22776,SWEETHEART CAKESTAND 3 TIER,2,6/22/2011 14:23,9.95,16247,United Kingdom
557776,22776,SWEETHEART CAKESTAND 3 TIER,2,6/22/2011 15:07,9.95,14422,United Kingdom
557786,22423,REGENCY CAKESTAND 3 TIER,1,6/22/2011 16:01,12.75,15550,United Kingdom
542600,22776,SWEETHEART CAKESTAND 3 TIER,2,1/30/2011 11:11,9.95,16923,United Kingdom
542619,22423,REGENCY CAKESTAND 3 TIER,1,1/30/2011 15:54,12.75,13869,United Kingdom
560248,22776,SWEETHEART CAKESTAND 3 TIER,1,7/17/2011 12:24,9.95,16255,United Kingdom
560251,22423,REGENCY CAKESTAND 3 TIER,1,7/17/2011 12:32,12.75,17774,United Kingdom
560253,22423,REGENCY CAKESTAND 3 TIER,6,7/17/2011 12:52,12.75,13993,United Kingdom
560273,22423,REGENCY CAKESTAND 3 TIER,4,7/17/2011 14:59,12.75,14895,United Kingdom
581495,22423,REGENCY CAKESTAND 3 TIER,10,12/9/2011 10:20,12.75,14051,United Kingdom
549916,22423,REGENCY CAKESTAND 3 TIER,1,4/13/2011 9:39,12.75,13717,United Kingdom
C549921,22423,REGENCY CAKESTAND 3 TIER,-1,4/13/2011 9:53,12.75,15109,United Kingdom
549924,22423,REGENCY CAKESTAND 3 TIER,6,4/13/2011 10:10,12.75,16837,United Kingdom
549927,22423,REGENCY CAKESTAND 3 TIER,60,4/13/2011 10:19,10.95,16684,United Kingdom
549943,22423,REGENCY CAKESTAND 3 TIER,1,4/13/2011 12:09,12.75,13544,United Kingdom
549946,22423,REGENCY CAKESTAND 3 TIER,16,4/13/2011 12:44,10.95,17819,United Kingdom
549947,22423,REGENCY CAKESTAND 3 TIER,2,4/13/2011 12:47,12.75,18260,United Kingdom
549951,22423,REGENCY CAKESTAND 3 TIER,4,4/13/2011 12:57,12.75,13134,United Kingdom
C549960,22423,REGENCY CAKESTAND 3 TIER,-2,4/13/2011 13:49,12.75,16652,United Kingdom
549961,22423,REGENCY CAKESTAND 3 TIER,2,4/13/2011 13:51,12.75,16652,United Kingdom
C549962,22423,REGENCY CAKESTAND 3 TIER,-2,4/13/2011 13:51,10.95,16652,United Kingdom
549974,22776,SWEETHEART CAKESTAND 3 TIER,1,4/13/2011 14:31,9.95,17746,United Kingdom
574643,22423,REGENCY CAKESTAND 3 TIER,2,11/6/2011 11:25,12.75,17387,United Kingdom
574662,22423,REGENCY CAKESTAND 3 TIER,1,11/6/2011 12:01,12.75,16676,United Kingdom
574678,22423,REGENCY CAKESTAND 3 TIER,6,11/6/2011 12:36,12.75,13365,United Kingdom
574694,22423,REGENCY CAKESTAND 3 TIER,2,11/6/2011 13:36,12.75,12381,Norway
574720,22423,REGENCY CAKESTAND 3 TIER,1,11/6/2011 14:39,12.75,14547,United Kingdom
574725,22423,REGENCY CAKESTAND 3 TIER,1,11/6/2011 14:50,12.75,15883,United Kingdom
574740,22423,REGENCY CAKESTAND 3 TIER,8,11/6/2011 16:07,12.75,12357,Switzerland
574741,22423,REGENCY CAKESTAND 3 TIER,1,11/6/2011 16:13,12.75,15993,United Kingdom
C564854,22423,REGENCY CAKESTAND 3 TIER,-3,8/31/2011 8:56,10.95,17865,United Kingdom
564974,22423,REGENCY CAKESTAND 3 TIER,2,8/31/2011 15:32,24.96,,United Kingdom
565014,22423,REGENCY CAKESTAND 3 TIER,2,8/31/2011 16:28,12.75,16180,United Kingdom
565056,22423,REGENCY CAKESTAND 3 TIER,1,8/31/2011 17:12,12.75,16278,United Kingdom
C577147,22423,REGENCY CAKESTAND 3 TIER,-1,11/18/2011 9:42,12.75,13396,United Kingdom
577150,22423,REGENCY CAKESTAND 3 TIER,13,11/18/2011 9:48,24.96,,United Kingdom
577168,22423,REGENCY CAKESTAND 3 TIER,56,11/18/2011 10:42,10.95,12603,Germany
577174,22423,REGENCY CAKESTAND 3 TIER,1,11/18/2011 10:58,12.75,17841,United Kingdom
577316,22423,REGENCY CAKESTAND 3 TIER,1,11/18/2011 13:30,12.75,12578,Italy
577355,22423,REGENCY CAKESTAND 3 TIER,2,11/18/2011 15:53,12.75,14911,EIRE
