InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
569998,22727,ALARM CLOCK BAKELIKE RED ,8,10/7/2011 8:12,3.75,12540,Spain
569998,22726,ALARM CLOCK BAKELIKE GREEN,4,10/7/2011 8:12,3.75,12540,Spain
570002,22193,RED DINER WALL CLOCK,12,10/7/2011 9:16,7.65,12477,Germany
570002,23179,CLOCK MAGNET MUM'S KITCHEN,6,10/7/2011 9:16,2.89,12477,Germany
570016,22193,RED DINER WALL CLOCK,2,10/7/2011 10:06,8.5,14911,EIRE
570020,22728,ALARM CLOCK BAKELIKE PINK,8,10/7/2011 10:18,3.75,12684,France
570027,22193,RED DINER WALL CLOCK,2,10/7/2011 10:41,8.5,14844,United Kingdom
570027,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,10/7/2011 10:41,3.75,14844,United Kingdom
570027,22726,ALARM CLOCK BAKELIKE GREEN,4,10/7/2011 10:41,3.75,14844,United Kingdom
570027,22727,ALARM CLOCK BAKELIKE RED ,4,10/7/2011 10:41,3.75,14844,United Kingdom
570087,22726,ALARM CLOCK BAKELIKE GREEN,12,10/7/2011 11:26,8.29,,United Kingdom
570087,22727,ALARM CLOCK BAKELIKE RED ,3,10/7/2011 11:26,8.29,,United Kingdom
570087,22728,ALARM CLOCK BAKELIKE PINK,2,10/7/2011 11:26,8.29,,United Kingdom
570091,22726,ALARM CLOCK BAKELIKE GREEN,4,10/7/2011 11:47,3.75,15632,United Kingdom
570091,22727,ALARM CLOCK BAKELIKE RED ,4,10/7/2011 11:47,3.75,15632,United Kingdom
570091,22730,ALARM CLOCK BAKELIKE IVORY,4,10/7/2011 11:47,3.75,15632,United Kingdom
570093,22730,ALARM CLOCK BAKELIKE IVORY,1,10/7/2011 11:55,3.75,18096,United Kingdom
570093,22727,ALARM CLOCK BAKELIKE RED ,1,10/7/2011 11:55,3.75,18096,United Kingdom
570093,22729,ALARM CLOCK BAKELIKE ORANGE,1,10/7/2011 11:55,3.75,18096,United Kingdom
570093,22728,ALARM CLOCK BAKELIKE PINK,2,10/7/2011 11:55,3.75,18096,United Kingdom
570093,22728,ALARM CLOCK BAKELIKE PINK,1,10/7/2011 11:55,3.75,18096,United Kingdom
570116,22726,ALARM CLOCK BAKELIKE GREEN,1,10/7/2011 12:38,3.75,12856,United Kingdom
570126,23342,MINT DINER WALL CLOCK,1,10/7/2011 13:16,8.5,16910,United Kingdom
570126,22191,IVORY DINER WALL CLOCK,1,10/7/2011 13:16,8.5,16910,United Kingdom
570129,22726,ALARM CLOCK BAKELIKE GREEN,4,10/7/2011 13:34,3.75,12885,United Kingdom
570129,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,10/7/2011 13:34,3.75,12885,United Kingdom
570183,22193,RED DINER WALL CLOCK,2,10/7/2011 14:43,8.5,15208,United Kingdom
570197,22729,ALARM CLOCK BAKELIKE ORANGE,1,10/7/2011 15:45,3.75,13755,United Kingdom
570197,22726,ALARM CLOCK BAKELIKE GREEN,1,10/7/2011 15:45,3.75,13755,United Kingdom
570197,84663A,GRASS HOPPER WOODEN WALL CLOCK ,2,10/7/2011 15:45,0.79,13755,United Kingdom
560447,22729,ALARM CLOCK BAKELIKE ORANGE,12,7/19/2011 9:24,3.75,13756,United Kingdom
560447,22728,ALARM CLOCK BAKELIKE PINK,16,7/19/2011 9:24,3.75,13756,United Kingdom
560453,22728,ALARM CLOCK BAKELIKE PINK,8,7/19/2011 9:52,3.75,13209,United Kingdom
560453,22729,ALARM CLOCK BAKELIKE ORANGE,8,7/19/2011 9:52,3.75,13209,United Kingdom
560453,22727,ALARM CLOCK BAKELIKE RED ,16,7/19/2011 9:52,3.75,13209,United Kingdom
560453,22192,BLUE DINER WALL CLOCK,2,7/19/2011 9:52,8.5,13209,United Kingdom
560473,22727,ALARM CLOCK BAKELIKE RED ,4,7/19/2011 10:42,3.75,12431,Australia
560473,22726,ALARM CLOCK BAKELIKE GREEN,4,7/19/2011 10:42,3.75,12431,Australia
560499,22729,ALARM CLOCK BAKELIKE ORANGE,4,7/19/2011 11:03,3.75,16713,United Kingdom
560547,23341,PINK DINER WALL CLOCK,2,7/19/2011 12:39,8.5,17419,United Kingdom
560547,22191,IVORY DINER WALL CLOCK,2,7/19/2011 12:39,8.5,17419,United Kingdom
560551,23180,MUM'S KITCHEN CLOCK,1,7/19/2011 12:47,4.95,18041,United Kingdom
560567,22726,ALARM CLOCK BAKELIKE GREEN,6,7/19/2011 13:57,8.29,,United Kingdom
