InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570016,22961,JAM MAKING SET PRINTED,12,10/7/2011 10:06,1.45,14911,EIRE
570016,22960,JAM MAKING SET WITH JARS,6,10/7/2011 10:06,4.25,14911,EIRE
570019,22960,JAM MAKING SET WITH JARS,4,10/7/2011 10:13,4.25,17841,United Kingdom
570129,22961,JAM MAKING SET PRINTED,12,10/7/2011 13:34,1.45,12885,United Kingdom
570187,22960,JAM MAKING SET WITH JARS,4,10/7/2011 15:09,8.29,,United Kingdom
570187,22961,JAM MAKING SET PRINTED,1,10/7/2011 15:09,3.29,,United Kingdom
560445,22960,JAM MAKING SET WITH JARS,48,7/19/2011 9:08,3.75,14156,EIRE
560538,22961,JAM MAKING SET PRINTED,24,7/19/2011 12:19,1.45,16128,United Kingdom
560538,22960,JAM MAKING SET WITH JARS,12,7/19/2011 12:19,3.75,16128,United Kingdom
560539,22961,JAM MAKING SET PRINTED,10,7/19/2011 12:19,1.45,16745,United Kingdom
560580,22960,JAM MAKING SET WITH JARS,30,7/19/2011 15:23,3.75,14088,United Kingdom
560590,22961,JAM MAKING SET PRINTED,12,7/19/2011 15:55,1.45,12560,Germany
542603,22960,JAM MAKING SET WITH JARS,12,1/30/2011 12:09,3.75,16985,United Kingdom
542613,22961,JAM MAKING SET PRINTED,24,1/30/2011 14:36,1.45,17431,United Kingdom
542613,22960,JAM MAKING SET WITH JARS,4,1/30/2011 14:36,4.25,17431,United Kingdom
542618,22960,JAM MAKING SET WITH JARS,1,1/30/2011 15:52,4.25,14502,United Kingdom
560229,22961,JAM MAKING SET PRINTED,12,7/17/2011 10:39,1.45,14013,United Kingdom
560239,22961,JAM MAKING SET PRINTED,12,7/17/2011 11:50,1.45,13507,United Kingdom
560248,22961,JAM MAKING SET PRINTED,3,7/17/2011 12:24,1.45,16255,United Kingdom
560251,22961,JAM MAKING SET PRINTED,1,7/17/2011 12:32,1.45,17774,United Kingdom
560254,22960,JAM MAKING SET WITH JARS,6,7/17/2011 13:07,4.25,16678,United Kingdom
560260,22961,JAM MAKING SET PRINTED,1,7/17/2011 13:32,1.45,14044,United Kingdom
560271,22960,JAM MAKING SET WITH JARS,1,7/17/2011 14:51,4.25,16474,United Kingdom
560278,22961,JAM MAKING SET PRINTED,2,7/17/2011 15:45,1.45,13610,United Kingdom
581492,22960,JAM MAKING SET WITH JARS,2,12/9/2011 10:03,8.29,,United Kingdom
581492,22961,JAM MAKING SET PRINTED,9,12/9/2011 10:03,3.29,,United Kingdom
581498,22961,JAM MAKING SET PRINTED,4,12/9/2011 10:26,3.29,,United Kingdom
C549913,22961,JAM MAKING SET PRINTED,-12,4/13/2011 9:02,1.45,14267,United Kingdom
549914,22960,JAM MAKING SET WITH JARS,12,4/13/2011 9:32,3.75,14931,Channel Islands
549918,22960,JAM MAKING SET WITH JARS,6,4/13/2011 9:48,4.25,17017,United Kingdom
549951,22960,JAM MAKING SET WITH JARS,6,4/13/2011 12:57,4.25,13134,United Kingdom
574677,22961,JAM MAKING SET PRINTED,2,11/6/2011 12:32,1.45,16445,United Kingdom
574680,22961,JAM MAKING SET PRINTED,12,11/6/2011 12:40,1.45,15078,United Kingdom
574684,22961,JAM MAKING SET PRINTED,12,11/6/2011 12:56,1.45,17581,United Kingdom
564857,22960,JAM MAKING SET WITH JARS,1,8/31/2011 9:23,8.29,,United Kingdom
564857,22961,JAM MAKING SET PRINTED,3,8/31/2011 9:23,3.29,,United Kingdom
564950,22961,JAM MAKING SET PRINTED,6,8/31/2011 13:31,1.45,17320,United Kingdom
564965,22961,JAM MAKING SET PRINTED,12,8/31/2011 15:07,1.45,17677,United Kingdom
564974,22960,JAM MAKING SET WITH JARS,2,8/31/2011 15:32,8.29,,United Kingdom
577141,22961,JAM MAKING SET PRINTED,12,11/18/2011 9:11,1.45,13269,United Kingdom
577173,22961,JAM MAKING SET PRINTED,12,11/18/2011 10:57,1.45,14849,United Kingdom
577316,22960,JAM MAKING SET WITH JARS,12,11/18/2011 13:30,3.75,12578,Italy
577320,22961,JAM MAKING SET PRINTED,12,11/18/2011 13:44,1.45,13880,United Kingdom
577341,22960,JAM MAKING SET WITH JARS,6,11/18/2011 15:00,4.25,16279,United Kingdom
