InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570019,21989,PACK OF 20 SKULL PAPER NAPKINS,1,10/7/2011 10:13,0.85,17841,United Kingdom
570022,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,3,10/7/2011 10:21,0.85,14067,United Kingdom
570030,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,10/7/2011 10:44,0.85,12740,France
570030,21989,PACK OF 20 SKULL PAPER NAPKINS,12,10/7/2011 10:44,0.85,12740,France
570127,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,10,10/7/2011 13:17,0.85,16900,United Kingdom
570168,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,10/7/2011 14:05,0.85,17596,United Kingdom
570168,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,8,10/7/2011 14:05,0.85,17596,United Kingdom
570187,21078,SET/20 STRAWBERRY PAPER NAPKINS ,1,10/7/2011 15:09,1.63,,United Kingdom
560504,21078,SET/20 STRAWBERRY PAPER NAPKINS ,24,7/19/2011 11:47,0.85,13081,United Kingdom
560504,21989,PACK OF 20 SKULL PAPER NAPKINS,12,7/19/2011 11:47,0.85,13081,United Kingdom
560504,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,36,7/19/2011 11:47,0.85,13081,United Kingdom
560571,21989,PACK OF 20 SKULL PAPER NAPKINS,12,7/19/2011 14:29,0.85,17735,United Kingdom
557674,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,6/22/2011 10:19,0.72,16422,United Kingdom
557753,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,6/22/2011 13:00,0.85,17877,United Kingdom
557762,21989,PACK OF 20 SKULL PAPER NAPKINS,12,6/22/2011 14:01,0.85,15810,United Kingdom
557793,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6,6/22/2011 17:30,0.85,14998,United Kingdom
560248,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6,7/17/2011 12:24,0.85,16255,United Kingdom
560251,21078,SET/20 STRAWBERRY PAPER NAPKINS ,4,7/17/2011 12:32,0.85,17774,United Kingdom
560276,21078,SET/20 STRAWBERRY PAPER NAPKINS ,2,7/17/2011 15:11,0.85,14606,United Kingdom
581492,21989,PACK OF 20 SKULL PAPER NAPKINS,2,12/9/2011 10:03,1.63,,United Kingdom
549940,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,192,4/13/2011 11:48,0.72,13694,United Kingdom
549940,21078,SET/20 STRAWBERRY PAPER NAPKINS ,96,4/13/2011 11:48,0.72,13694,United Kingdom
549949,21078,SET/20 STRAWBERRY PAPER NAPKINS ,4,4/13/2011 12:57,0.85,13208,United Kingdom
549953,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,4/13/2011 13:15,0.85,12766,Portugal
549981,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,3,4/13/2011 15:49,0.85,16348,United Kingdom
574587,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,11/6/2011 10:29,0.85,14936,Channel Islands
564857,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6,8/31/2011 9:23,2.46,,United Kingdom
564896,21078,SET/20 STRAWBERRY PAPER NAPKINS ,24,8/31/2011 11:06,0.85,13726,United Kingdom
564896,21989,PACK OF 20 SKULL PAPER NAPKINS,24,8/31/2011 11:06,0.85,13726,United Kingdom
564896,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,24,8/31/2011 11:06,0.85,13726,United Kingdom
577152,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,11/18/2011 9:53,0.85,14277,France
577217,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,4,11/18/2011 11:53,0.85,17324,United Kingdom
577344,21989,PACK OF 20 SKULL PAPER NAPKINS,12,11/18/2011 15:14,0.85,12437,France
