InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570002,82482,WOODEN PICTURE FRAME WHITE FINISH,6,10/7/2011 9:16,2.95,12477,Germany
570088,82482,WOODEN PICTURE FRAME WHITE FINISH,2,10/7/2011 11:32,2.95,16764,United Kingdom
570103,82482,WOODEN PICTURE FRAME WHITE FINISH,3,10/7/2011 12:18,2.95,15719,United Kingdom
C570122,82482,WOODEN PICTURE FRAME WHITE FINISH,-2,10/7/2011 12:58,2.95,15874,United Kingdom
557755,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,6/22/2011 13:14,7.65,14733,United Kingdom
557772,82482,WOODEN PICTURE FRAME WHITE FINISH,6,6/22/2011 14:47,2.55,16458,United Kingdom
542609,82482,WOODEN PICTURE FRAME WHITE FINISH,6,1/30/2011 14:03,2.55,13161,United Kingdom
542617,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,1/30/2011 15:48,6.75,17463,United Kingdom
542619,82482,WOODEN PICTURE FRAME WHITE FINISH,6,1/30/2011 15:54,2.55,13869,United Kingdom
560251,82482,WOODEN PICTURE FRAME WHITE FINISH,3,7/17/2011 12:32,2.55,17774,United Kingdom
560256,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2,7/17/2011 13:24,6.75,14462,United Kingdom
560264,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,7/17/2011 13:46,6.75,12833,United Kingdom
581478,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,8,12/9/2011 8:59,6.75,17364,United Kingdom
581492,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,12/9/2011 10:03,13.29,,United Kingdom
549929,82482,WOODEN PICTURE FRAME WHITE FINISH,6,4/13/2011 10:32,2.55,13740,United Kingdom
574591,82482,WOODEN PICTURE FRAME WHITE FINISH,6,11/6/2011 10:47,2.95,15745,United Kingdom
574663,23457,LARGE PARLOUR PICTURE FRAME,2,11/6/2011 12:04,4.95,13527,United Kingdom
574663,23455,SMALL PARLOUR PICTURE FRAME,2,11/6/2011 12:04,2.89,13527,United Kingdom
574670,82482,WOODEN PICTURE FRAME WHITE FINISH,1,11/6/2011 12:20,2.95,12838,United Kingdom
574673,82482,WOODEN PICTURE FRAME WHITE FINISH,3,11/6/2011 12:26,2.95,15555,United Kingdom
574676,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,11/6/2011 12:32,6.75,16243,United Kingdom
574691,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/6/2011 13:17,2.95,14174,United Kingdom
574693,82482,WOODEN PICTURE FRAME WHITE FINISH,3,11/6/2011 13:32,2.95,14553,United Kingdom
574695,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/6/2011 13:37,2.95,17114,United Kingdom
574700,82482,WOODEN PICTURE FRAME WHITE FINISH,6,11/6/2011 13:53,2.95,16033,United Kingdom
574703,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,11/6/2011 13:59,8.5,15426,United Kingdom
574704,23455,SMALL PARLOUR PICTURE FRAME,1,11/6/2011 14:02,2.89,15696,United Kingdom
574704,23455,SMALL PARLOUR PICTURE FRAME,3,11/6/2011 14:02,2.89,15696,United Kingdom
574717,82482,WOODEN PICTURE FRAME WHITE FINISH,6,11/6/2011 14:35,2.95,18170,United Kingdom
574721,21253,SET OF PICTURE FRAME  STICKERS,1,11/6/2011 14:43,2.95,17920,United Kingdom
574722,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,11/6/2011 14:45,6.75,14502,United Kingdom
564857,82482,WOODEN PICTURE FRAME WHITE FINISH,5,8/31/2011 9:23,4.96,,United Kingdom
564950,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,8/31/2011 13:31,8.5,17320,United Kingdom
564974,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,8/31/2011 15:32,13.29,,United Kingdom
577158,23455,SMALL PARLOUR PICTURE FRAME,6,11/18/2011 9:58,2.89,16293,United Kingdom
577258,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/18/2011 12:27,2.95,16764,United Kingdom
577314,82482,WOODEN PICTURE FRAME WHITE FINISH,6,11/18/2011 13:23,2.95,12444,Norway
577331,82482,WOODEN PICTURE FRAME WHITE FINISH,6,11/18/2011 14:23,2.95,14667,United Kingdom
540013,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,1/4/2011 11:30,6.75,16255,United Kingdom
540013,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,1/4/2011 11:30,8.5,16255,United Kingdom
556824,82482,WOODEN PICTURE FRAME WHITE FINISH,1,6/15/2011 10:24,4.96,,United Kingdom
556826,82482,WOODEN PICTURE FRAME WHITE FINISH,1,6/15/2011 10:25,4.96,,United Kingdom
556845,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,12,6/15/2011 11:30,5.95,17511,United Kingdom
556845,22169,FAMILY ALBUM WHITE PICTURE FRAME,16,6/15/2011 11:30,7.65,17511,United Kingdom
C556888,82482,WOODEN PICTURE FRAME WHITE FINISH,-1,6/15/2011 12:37,2.55,15005,United Kingdom
556915,21253,SET OF PICTURE FRAME  STICKERS,1,6/15/2011 13:35,2.95,15036,United Kingdom
556932,82482,WOODEN PICTURE FRAME WHITE FINISH,2,6/15/2011 15:41,5.79,,United Kingdom
561884,82482,WOODEN PICTURE FRAME WHITE FINISH,1,7/31/2011 13:07,2.55,15453,United Kingdom
565444,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,9/4/2011 14:36,8.5,17894,United Kingdom
561024,82482,WOODEN PICTURE FRAME WHITE FINISH,6,7/24/2011 10:35,2.55,12916,United Kingdom
561030,21253,SET OF PICTURE FRAME  STICKERS,1,7/24/2011 11:25,2.95,16407,United Kingdom
561038,82482,WOODEN PICTURE FRAME WHITE FINISH,2,7/24/2011 11:58,2.55,17114,United Kingdom
561038,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,7/24/2011 11:58,6.75,17114,United Kingdom
561039,82482,WOODEN PICTURE FRAME WHITE FINISH,36,7/24/2011 12:02,2.1,16525,United Kingdom
561044,82482,WOODEN PICTURE FRAME WHITE FINISH,12,7/24/2011 12:26,2.55,13831,United Kingdom
561051,82482,WOODEN PICTURE FRAME WHITE FINISH,72,7/24/2011 13:11,2.1,16684,United Kingdom
561064,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,7/24/2011 14:16,7.65,18109,United Kingdom
561076,82482,WOODEN PICTURE FRAME WHITE FINISH,12,7/24/2011 15:52,2.55,17696,United Kingdom
547416,82482,WOODEN PICTURE FRAME WHITE FINISH,6,3/23/2011 10:15,2.55,15410,United Kingdom
547498,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,3/23/2011 12:24,8.5,15021,United Kingdom
547498,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,3/23/2011 12:24,6.75,15021,United Kingdom
547552,82482,WOODEN PICTURE FRAME WHITE FINISH,2,3/23/2011 15:55,4.96,,United Kingdom
539492,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,12/20/2010 10:14,16.98,,United Kingdom
539492,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,12/20/2010 10:14,13.57,,United Kingdom
539595,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,12/20/2010 13:43,16.98,,United Kingdom
539631,82482,WOODEN PICTURE FRAME WHITE FINISH,3,12/20/2010 15:03,5.06,,United Kingdom
543653,82482,WOODEN PICTURE FRAME WHITE FINISH,2,2/11/2011 10:26,2.55,14796,United Kingdom
543736,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2/11/2011 12:36,2.55,15044,United Kingdom
555929,22169,FAMILY ALBUM WHITE PICTURE FRAME,8,6/8/2011 8:12,7.65,16525,United Kingdom
556023,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,6/8/2011 12:21,8.5,14527,United Kingdom
556040,82482,WOODEN PICTURE FRAME WHITE FINISH,6,6/8/2011 12:42,2.55,14622,United Kingdom
556056,82482,WOODEN PICTURE FRAME WHITE FINISH,24,6/8/2011 13:35,2.55,17841,United Kingdom
556058,82482,WOODEN PICTURE FRAME WHITE FINISH,6,6/8/2011 13:54,2.55,13985,United Kingdom
556081,82482,WOODEN PICTURE FRAME WHITE FINISH,2,6/8/2011 15:22,4.96,,United Kingdom
556082,82482,WOODEN PICTURE FRAME WHITE FINISH,1,6/8/2011 15:22,4.96,,United Kingdom
556085,82482,WOODEN PICTURE FRAME WHITE FINISH,1,6/8/2011 15:23,4.96,,United Kingdom
556090,82482,WOODEN PICTURE FRAME WHITE FINISH,1,6/8/2011 15:25,4.96,,United Kingdom
556093,82482,WOODEN PICTURE FRAME WHITE FINISH,2,6/8/2011 15:26,4.96,,United Kingdom
556094,82482,WOODEN PICTURE FRAME WHITE FINISH,2,6/8/2011 15:26,4.96,,United Kingdom
556108,21253,SET OF PICTURE FRAME  STICKERS,2,6/8/2011 17:59,5.79,,United Kingdom
556108,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,1,6/8/2011 17:59,13.29,,United Kingdom
575943,21253,SET OF PICTURE FRAME  STICKERS,1,11/13/2011 11:44,2.95,17920,United Kingdom
575947,82482,WOODEN PICTURE FRAME WHITE FINISH,1,11/13/2011 11:50,4.96,,United Kingdom
575958,82482,WOODEN PICTURE FRAME WHITE FINISH,3,11/13/2011 12:23,2.95,15021,United Kingdom
575964,82482,WOODEN PICTURE FRAME WHITE FINISH,3,11/13/2011 12:31,2.95,15021,United Kingdom
575964,23457,LARGE PARLOUR PICTURE FRAME,1,11/13/2011 12:31,4.95,15021,United Kingdom
575964,23456,MEDIUM PARLOUR PICTURE FRAME ,1,11/13/2011 12:31,4.15,15021,United Kingdom
575964,23455,SMALL PARLOUR PICTURE FRAME,1,11/13/2011 12:31,2.89,15021,United Kingdom
575970,82482,WOODEN PICTURE FRAME WHITE FINISH,12,11/13/2011 12:50,2.95,16416,United Kingdom
575973,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,11/13/2011 13:03,8.5,,EIRE
575977,82482,WOODEN PICTURE FRAME WHITE FINISH,2,11/13/2011 13:27,2.95,17287,United Kingdom
575985,82482,WOODEN PICTURE FRAME WHITE FINISH,1,11/13/2011 14:09,2.95,17841,United Kingdom
576052,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,2,11/13/2011 14:48,6.75,15787,United Kingdom
