InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
569997,POST,POSTAGE,9,10/7/2011 8:08,18,12394,Denmark
569998,POST,POSTAGE,2,10/7/2011 8:12,28,12540,Spain
570007,POST,POSTAGE,3,10/7/2011 9:26,18,12519,Germany
570026,POST,POSTAGE,1,10/7/2011 10:37,40,12781,Czech Republic
570082,POST,POSTAGE,7,10/7/2011 11:19,18,12524,Germany
570095,POST,POSTAGE,2,10/7/2011 11:57,18,12528,Germany
570187,DOT,DOTCOM POSTAGE,1,10/7/2011 15:09,255.81,,United Kingdom
570189,POST,POSTAGE,1,10/7/2011 15:15,18,12492,Germany
560545,POST,POSTAGE,1,7/19/2011 12:38,18,12569,Germany
560549,POST,POSTAGE,2,7/19/2011 12:43,40,12664,Finland
560566,POST,POSTAGE,2,7/19/2011 13:45,18,12662,Germany
560569,POST,POSTAGE,3,7/19/2011 14:04,18,12480,Germany
557669,POST,POSTAGE,2,6/22/2011 9:43,18,12674,France
557675,POST,POSTAGE,1,6/22/2011 10:27,15,,Hong Kong
557734,POST,POSTAGE,2,6/22/2011 11:20,18,12684,France
557754,POST,POSTAGE,1,6/22/2011 13:12,700,12432,Norway
560272,POST,POSTAGE,1,7/17/2011 14:56,18,12691,France
581492,DOT,DOTCOM POSTAGE,1,12/9/2011 10:03,933.17,,United Kingdom
581493,POST,POSTAGE,1,12/9/2011 10:10,15,12423,Belgium
581494,POST,POSTAGE,2,12/9/2011 10:13,18,12518,Germany
581570,POST,POSTAGE,1,12/9/2011 11:59,18,12662,Germany
581574,POST,POSTAGE,2,12/9/2011 12:09,18,12526,Germany
574653,POST,POSTAGE,2,11/6/2011 11:30,18,12619,Germany
574679,POST,POSTAGE,3,11/6/2011 12:38,18,12645,Germany
574690,POST,POSTAGE,4,11/6/2011 13:11,40,12638,Sweden
574713,POST,POSTAGE,1,11/6/2011 14:26,18,12628,Germany
564857,DOT,DOTCOM POSTAGE,1,8/31/2011 9:23,877.04,,United Kingdom
564858,POST,POSTAGE,5,8/31/2011 9:44,28,12484,Spain
564861,POST,POSTAGE,1,8/31/2011 10:21,15,17315,United Kingdom
564862,POST,POSTAGE,1,8/31/2011 10:24,145,12678,France
C564905,POST,POSTAGE,-1,8/31/2011 12:16,87.4,17450,United Kingdom
C564905,POST,POSTAGE,-1,8/31/2011 12:16,79.68,17450,United Kingdom
564906,POST,POSTAGE,2,8/31/2011 12:18,18,12682,France
564912,POST,POSTAGE,3,8/31/2011 12:33,18,12490,France
577135,POST,POSTAGE,2,11/18/2011 8:56,18,12427,Germany
577152,POST,POSTAGE,2,11/18/2011 9:53,18,14277,France
C577164,POST,POSTAGE,-1,11/18/2011 10:28,4.41,16678,United Kingdom
577168,POST,POSTAGE,7,11/18/2011 10:42,18,12603,Germany
577180,POST,POSTAGE,8,11/18/2011 11:27,18,12380,Belgium
577295,POST,POSTAGE,3,11/18/2011 12:46,18,12682,France
577314,POST,POSTAGE,6,11/18/2011 13:23,40,12444,Norway
577316,POST,POSTAGE,7,11/18/2011 13:30,28,12578,Italy
577326,POST,POSTAGE,2,11/18/2011 14:08,15,14646,Netherlands
C577353,POST,POSTAGE,-1,11/18/2011 15:45,4,12781,Czech Republic
577358,DOT,DOTCOM POSTAGE,1,11/18/2011 15:59,579.21,,United Kingdom
540040,POST,POSTAGE,5,1/4/2011 14:20,40,12483,Sweden
C540057,POST,POSTAGE,-1,1/4/2011 14:29,40,12483,Sweden
556816,POST,POSTAGE,3,6/15/2011 9:01,18,12437,France
556819,POST,POSTAGE,4,6/15/2011 10:21,18,12682,France
556821,DOT,DOTCOM POSTAGE,1,6/15/2011 10:22,50.96,,United Kingdom
556823,DOT,DOTCOM POSTAGE,1,6/15/2011 10:24,20.5,,United Kingdom
556824,DOT,DOTCOM POSTAGE,1,6/15/2011 10:24,65.79,,United Kingdom
556829,POST,POSTAGE,3,6/15/2011 10:51,28,12809,Portugal
556886,POST,POSTAGE,2,6/15/2011 12:34,18,12624,France
C556919,POST,POSTAGE,-1,6/15/2011 13:46,2.17,17511,United Kingdom
561898,POST,POSTAGE,7,7/31/2011 15:25,40,12456,Switzerland
565423,POST,POSTAGE,1,9/4/2011 12:23,18,12569,Germany
565442,POST,POSTAGE,3,9/4/2011 14:09,18,12627,Germany
565443,POST,POSTAGE,3,9/4/2011 14:22,18,12567,France
561029,POST,POSTAGE,2,7/24/2011 11:25,18,12490,France
561057,POST,POSTAGE,1,7/24/2011 13:18,2.9,17935,United Kingdom
547412,POST,POSTAGE,1,3/23/2011 9:42,15,12399,Belgium
547444,POST,POSTAGE,1,3/23/2011 10:55,1,12811,Portugal
547492,POST,POSTAGE,1,3/23/2011 12:06,18,12604,France
547504,POST,POSTAGE,8,3/23/2011 13:33,18,12683,France
547520,POST,POSTAGE,3,3/23/2011 14:55,18,12564,France
547547,DOT,DOTCOM POSTAGE,1,3/23/2011 15:30,115.42,,United Kingdom
547551,DOT,DOTCOM POSTAGE,1,3/23/2011 15:55,128.25,,United Kingdom
547552,DOT,DOTCOM POSTAGE,1,3/23/2011 15:55,169.29,,United Kingdom
539491,POST,POSTAGE,1,12/20/2010 10:09,15,14646,Netherlands
539492,DOT,DOTCOM POSTAGE,1,12/20/2010 10:14,396.81,,United Kingdom
539551,POST,POSTAGE,1,12/20/2010 11:38,18,12721,France
539607,POST,POSTAGE,5,12/20/2010 14:10,18,12681,France
539631,DOT,DOTCOM POSTAGE,1,12/20/2010 15:03,250.83,,United Kingdom
543660,DOT,DOTCOM POSTAGE,1,2/11/2011 10:40,248.48,,United Kingdom
543733,POST,POSTAGE,1,2/11/2011 12:16,15,12395,Belgium
555928,POST,POSTAGE,2,6/8/2011 8:02,15,12383,Belgium
