InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
570086,22699,ROSES REGENCY TEACUP AND SAUCER ,6,10/7/2011 11:22,2.95,17086,United Kingdom
570086,22698,PINK REGENCY TEACUP AND SAUCER,6,10/7/2011 11:22,2.95,17086,United Kingdom
570086,22697,GREEN REGENCY TEACUP AND SAUCER,6,10/7/2011 11:22,2.95,17086,United Kingdom
570127,22699,ROSES REGENCY TEACUP AND SAUCER ,3,10/7/2011 13:17,2.95,16900,United Kingdom
570127,22698,PINK REGENCY TEACUP AND SAUCER,3,10/7/2011 13:17,2.95,16900,United Kingdom
570187,22697,GREEN REGENCY TEACUP AND SAUCER,3,10/7/2011 15:09,5.79,,United Kingdom
570187,22698,PINK REGENCY TEACUP AND SAUCER,2,10/7/2011 15:09,5.79,,United Kingdom
560451,22697,GREEN REGENCY TEACUP AND SAUCER,12,7/19/2011 9:50,2.95,14911,EIRE
560451,22698,PINK REGENCY TEACUP AND SAUCER,12,7/19/2011 9:50,2.95,14911,EIRE
560451,22699,ROSES REGENCY TEACUP AND SAUCER ,12,7/19/2011 9:50,2.95,14911,EIRE
560504,22699,ROSES REGENCY TEACUP AND SAUCER ,6,7/19/2011 11:47,2.95,13081,United Kingdom
C560560,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,7/19/2011 13:26,2.95,17738,United Kingdom
560580,22699,ROSES REGENCY TEACUP AND SAUCER ,36,7/19/2011 15:23,2.55,14088,United Kingdom
560580,22698,PINK REGENCY TEACUP AND SAUCER,60,7/19/2011 15:23,2.55,14088,United Kingdom
560580,22697,GREEN REGENCY TEACUP AND SAUCER,48,7/19/2011 15:23,2.55,14088,United Kingdom
557672,22697,GREEN REGENCY TEACUP AND SAUCER,6,6/22/2011 10:13,2.95,16114,United Kingdom
557672,22698,PINK REGENCY TEACUP AND SAUCER,6,6/22/2011 10:13,2.95,16114,United Kingdom
557735,22699,ROSES REGENCY TEACUP AND SAUCER ,12,6/22/2011 11:30,2.95,16214,United Kingdom
557735,22697,GREEN REGENCY TEACUP AND SAUCER,12,6/22/2011 11:30,2.95,16214,United Kingdom
557735,22698,PINK REGENCY TEACUP AND SAUCER,12,6/22/2011 11:30,2.95,16214,United Kingdom
557782,22698,PINK REGENCY TEACUP AND SAUCER,6,6/22/2011 15:41,2.95,14640,United Kingdom
